step,epoch,epoch_step,loss,learn_rate
500,499,0,0.0859789,0.004
1000,999,0,0.0748211,0.004
1500,1499,0,0.1105229,0.004
2000,1999,0,0.1656954,0.004
2500,2499,0,0.1236384,0.004
3000,2999,0,0.1117844,0.004
3500,3499,0,0.0817217,0.004
4000,3999,0,0.1048005,0.004
4500,4499,0,0.1096696,0.004
5000,4999,0,0.1627591,0.004
5500,5499,0,0.1737667,0.004
6000,5999,0,0.1188512,0.004
6500,6499,0,0.2410770,0.004
7000,6999,0,0.0465456,0.004
7500,7499,0,0.1484603,0.004
8000,7999,0,0.1044876,0.004
8500,8499,0,0.2219305,0.004
9000,8999,0,0.2026137,0.004
9500,9499,0,0.1316276,0.004
10000,9999,0,0.2552873,0.004
10500,10499,0,0.1995726,0.004
